"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","Belgium","Nitrogen oxides","Financial and insurance activities","Tonne","375.95",""
"2006","Belgium","Nitrogen oxides","Real estate activities","Tonne","590.02",""
"2006","Belgium","Nitrogen oxides","Professional, scientific and technical activities","Tonne","3,052.67",""
"2006","Belgium","Nitrogen oxides","Administrative and support service activities","Tonne","9,703.11",""
"2006","Belgium","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","7,514.25",""
"2006","Belgium","Nitrogen oxides","Education","Tonne","1,542.11",""
"2006","Belgium","Nitrogen oxides","Human health and social work activities","Tonne","1,197.67",""
"2006","Belgium","Nitrogen oxides","Arts, entertainment and recreation","Tonne","335.91",""
"2006","Belgium","Nitrogen oxides","Other service activities","Tonne","1,757.69",""
"2006","Belgium","Nitrogen oxides","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2006","Belgium","Nitrogen oxides","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2006","Belgium","Methane","Total - all NACE activities","Tonne","349,444.91",""
"2006","Belgium","Methane","Agriculture, forestry and fishing","Tonne","230,199.56",""
"2006","Belgium","Methane","Mining and quarrying","Tonne","565.49",""
"2006","Belgium","Methane","Manufacturing","Tonne","17,295.49",""
"2006","Belgium","Methane","Electricity, gas, steam and air conditioning supply","Tonne","8,381.68",""
"2006","Belgium","Methane","Water supply; sewerage, waste management and remediation activities","Tonne","90,957.2",""
"2006","Belgium","Methane","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","368.07",""
"2006","Belgium","Methane","Transportation and storage","Tonne","559.27",""
"2006","Belgium","Methane","Accommodation and food service activities","Tonne","104.61",""
"2006","Belgium","Methane","Information and communication","Tonne","86.01",""
"2006","Belgium","Methane","Financial and insurance activities","Tonne","31.49",""
"2006","Belgium","Methane","Real estate activities","Tonne","10.03",""
"2006","Belgium","Methane","Professional, scientific and technical activities","Tonne","113.86",""
"2006","Belgium","Methane","Administrative and support service activities","Tonne","136.58",""
"2006","Belgium","Methane","Public administration and defence; compulsory social security","Tonne","104.18",""
"2006","Belgium","Methane","Education","Tonne","205.04",""
"2006","Belgium","Methane","Human health and social work activities","Tonne","180.07",""
"2006","Belgium","Methane","Arts, entertainment and recreation","Tonne","25.19",""
"2006","Belgium","Methane","Other service activities","Tonne","38.06",""
"2006","Belgium","Methane","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2006","Belgium","Methane","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2006","Belgium","Nitrous oxide","Total - all NACE activities","Tonne","25,216.2",""
"2006","Belgium","Nitrous oxide","Agriculture, forestry and fishing","Tonne","14,070.3",""
"2006","Belgium","Nitrous oxide","Mining and quarrying","Tonne","0.05",""
"2006","Belgium","Nitrous oxide","Manufacturing","Tonne","8,918.42",""
"2006","Belgium","Nitrous oxide","Electricity, gas, steam and air conditioning supply","Tonne","314.67",""
"2006","Belgium","Nitrous oxide","Water supply; sewerage, waste management and remediation activities","Tonne","984.58",""
"2006","Belgium","Nitrous oxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","46.64",""
"2006","Belgium","Nitrous oxide","Transportation and storage","Tonne","414.01",""
"2006","Belgium","Nitrous oxide","Accommodation and food service activities","Tonne","3.85",""
"2006","Belgium","Nitrous oxide","Information and communication","Tonne","13.64",""
"2006","Belgium","Nitrous oxide","Financial and insurance activities","Tonne","2.46",""
"2006","Belgium","Nitrous oxide","Real estate activities","Tonne","2.41",""
"2006","Belgium","Nitrous oxide","Professional, scientific and technical activities","Tonne","11.63",""
"2006","Belgium","Nitrous oxide","Administrative and support service activities","Tonne","37.57",""
"2006","Belgium","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","33.71",""
"2006","Belgium","Nitrous oxide","Education","Tonne","8.2",""
"2006","Belgium","Nitrous oxide","Human health and social work activities","Tonne","308.71",""
"2006","Belgium","Nitrous oxide","Arts, entertainment and recreation","Tonne","2.53",""
"2006","Belgium","Nitrous oxide","Other service activities","Tonne","7.46",""
"2006","Belgium","Nitrous oxide","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2006","Belgium","Nitrous oxide","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2006","Belgium","Carbon dioxide","Total - all NACE activities","Tonne","96,017,639",""
"2006","Belgium","Carbon dioxide","Agriculture, forestry and fishing","Tonne","2,752,033",""
"2006","Belgium","Carbon dioxide","Mining and quarrying","Tonne","2,054",""
"2006","Belgium","Carbon dioxide","Manufacturing","Tonne","44,542,943",""
"2006","Belgium","Carbon dioxide","Electricity, gas, steam and air conditioning supply","Tonne","23,475,931",""
"2006","Belgium","Carbon dioxide","Water supply; sewerage, waste management and remediation activities","Tonne","967,382",""
"2006","Belgium","Carbon dioxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne","3,189,439",""
"2006","Belgium","Carbon dioxide","Transportation and storage","Tonne","11,098,571",""
"2006","Belgium","Carbon dioxide","Accommodation and food service activities","Tonne","392,709",""
"2006","Belgium","Carbon dioxide","Information and communication","Tonne","546,681",""
"2006","Belgium","Carbon dioxide","Financial and insurance activities","Tonne","170,248",""
"2006","Belgium","Carbon dioxide","Real estate activities","Tonne","146,891",""
"2006","Belgium","Carbon dioxide","Professional, scientific and technical activities","Tonne","993,357",""
"2006","Belgium","Carbon dioxide","Administrative and support service activities","Tonne","2,407,402",""
"2006","Belgium","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","1,880,892",""
"2006","Belgium","Carbon dioxide","Education","Tonne","685,796",""
"2006","Belgium","Carbon dioxide","Human health and social work activities","Tonne","610,983",""
"2006","Belgium","Carbon dioxide","Arts, entertainment and recreation","Tonne","176,876",""
"2006","Belgium","Carbon dioxide","Other service activities","Tonne","492,873",""
"2006","Belgium","Carbon dioxide","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne","0",""
"2006","Belgium","Carbon dioxide","Activities of extraterritorial organisations and bodies","Tonne","0",""
"2006","Bulgaria","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Agriculture, forestry and fishing","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Mining and quarrying","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Manufacturing","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Transportation and storage","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Accommodation and food service activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Information and communication","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Financial and insurance activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Real estate activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Professional, scientific and technical activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Administrative and support service activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Education","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Arts, entertainment and recreation","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Other service activities","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","Bulgaria","Nitrogen oxides","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","Bulgaria","Methane","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Methane","Agriculture, forestry and fishing","Tonne",":",""
"2006","Bulgaria","Methane","Mining and quarrying","Tonne",":",""
"2006","Bulgaria","Methane","Manufacturing","Tonne",":",""
"2006","Bulgaria","Methane","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","Bulgaria","Methane","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","Bulgaria","Methane","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","Bulgaria","Methane","Transportation and storage","Tonne",":",""
"2006","Bulgaria","Methane","Accommodation and food service activities","Tonne",":",""
"2006","Bulgaria","Methane","Information and communication","Tonne",":",""
"2006","Bulgaria","Methane","Financial and insurance activities","Tonne",":",""
"2006","Bulgaria","Methane","Real estate activities","Tonne",":",""
"2006","Bulgaria","Methane","Professional, scientific and technical activities","Tonne",":",""
"2006","Bulgaria","Methane","Administrative and support service activities","Tonne",":",""
"2006","Bulgaria","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Methane","Education","Tonne",":",""
"2006","Bulgaria","Methane","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Methane","Arts, entertainment and recreation","Tonne",":",""
"2006","Bulgaria","Methane","Other service activities","Tonne",":",""
"2006","Bulgaria","Methane","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","Bulgaria","Methane","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Agriculture, forestry and fishing","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Mining and quarrying","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Manufacturing","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Transportation and storage","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Accommodation and food service activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Information and communication","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Financial and insurance activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Real estate activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Professional, scientific and technical activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Administrative and support service activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Education","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Arts, entertainment and recreation","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Other service activities","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Tonne",":",""
"2006","Bulgaria","Nitrous oxide","Activities of extraterritorial organisations and bodies","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Agriculture, forestry and fishing","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Mining and quarrying","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Manufacturing","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Electricity, gas, steam and air conditioning supply","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Water supply; sewerage, waste management and remediation activities","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Wholesale and retail trade; repair of motor vehicles and motorcycles","Tonne",":",""
"2006","Bulgaria","Carbon dioxide","Transportation and storage","Tonne",":",""
