"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Leather and leather products","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","49,262","e"
"2000","Leather and leather products","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","56,758","e"
"2000","Leather and leather products","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","123,832","e"
"2000","Leather and leather products","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","8,380","e"
"2000","Leather and leather products","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","17,130,340","e"
"2000","Wood and products of wood and cork (except furniture), articles of straw and plaiting materials","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","31,310","e"
"2000","Wood and products of wood and cork (except furniture), articles of straw and plaiting materials","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","40,464","e"
"2000","Wood and products of wood and cork (except furniture), articles of straw and plaiting materials","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","56,742","e"
"2000","Wood and products of wood and cork (except furniture), articles of straw and plaiting materials","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,627","e"
"2000","Wood and products of wood and cork (except furniture), articles of straw and plaiting materials","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","10,261,440","e"
"2000","Pulp, paper and paper products","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","114,466","e"
"2000","Pulp, paper and paper products","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","97,048","e"
"2000","Pulp, paper and paper products","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","109,965","e"
"2000","Pulp, paper and paper products","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,519","e"
"2000","Pulp, paper and paper products","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","32,046,200","e"
"2000","Printed matter and recorded media","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","83,142","e"
"2000","Printed matter and recorded media","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","84,593","e"
"2000","Printed matter and recorded media","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","94,369","e"
"2000","Printed matter and recorded media","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","4,668","e"
"2000","Printed matter and recorded media","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","26,085,890","e"
"2000","Coke, refined petroleum products and nuclear fuel","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","516,213","e"
"2000","Coke, refined petroleum products and nuclear fuel","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","279,616","e"
"2000","Coke, refined petroleum products and nuclear fuel","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","809,423","e"
"2000","Coke, refined petroleum products and nuclear fuel","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","7,916","e"
"2000","Coke, refined petroleum products and nuclear fuel","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","120,863,160","e"
"2000","Chemicals, chemical products and man-made fibres","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","553,871","e"
"2000","Chemicals, chemical products and man-made fibres","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","448,193","e"
"2000","Chemicals, chemical products and man-made fibres","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","675,317","e"
"2000","Chemicals, chemical products and man-made fibres","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","127,404","e"
"2000","Chemicals, chemical products and man-made fibres","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","188,732,910","e"
"2000","Rubber and plastic products","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","80,718","e"
"2000","Rubber and plastic products","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","69,331","e"
"2000","Rubber and plastic products","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","90,995","e"
"2000","Rubber and plastic products","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","8,371","e"
"2000","Rubber and plastic products","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","26,426,090","e"
"2000","Other non-metallic mineral products","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","134,297","e"
"2000","Other non-metallic mineral products","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","174,871","e"
"2000","Other non-metallic mineral products","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","70,242","e"
"2000","Other non-metallic mineral products","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,192","e"
"2000","Other non-metallic mineral products","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","64,172,360","e"
"2000","Basic metals","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","214,353","e"
"2000","Basic metals","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","147,348","e"
"2000","Basic metals","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","194,268","e"
"2000","Basic metals","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","3,894","e"
"2000","Basic metals","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","86,050,950","e"
"2000","Fabricated metal products, except machinery and equipment","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","164,148","e"
"2000","Fabricated metal products, except machinery and equipment","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","133,306","e"
"2000","Fabricated metal products, except machinery and equipment","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","157,227","e"
"2000","Fabricated metal products, except machinery and equipment","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,130","e"
"2000","Fabricated metal products, except machinery and equipment","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","57,934,440","e"
"2000","Machinery and equipment n.e.c.","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","458,478","e"
"2000","Machinery and equipment n.e.c.","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","413,361","e"
"2000","Machinery and equipment n.e.c.","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","475,134","e"
"2000","Machinery and equipment n.e.c.","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","17,977","e"
"2000","Machinery and equipment n.e.c.","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","161,419,220","e"
"2000","Office machinery and computers","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","110,604","e"
"2000","Office machinery and computers","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","116,964","e"
"2000","Office machinery and computers","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","131,768","e"
"2000","Office machinery and computers","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","6,056","e"
"2000","Office machinery and computers","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","36,089,290","e"
"2000","Electrical machinery and apparatus n.e.c.","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","159,545","e"
"2000","Electrical machinery and apparatus n.e.c.","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","126,292","e"
"2000","Electrical machinery and apparatus n.e.c.","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","141,190","e"
"2000","Electrical machinery and apparatus n.e.c.","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","5,960","e"
"2000","Electrical machinery and apparatus n.e.c.","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","48,056,340","e"
"2000","Radio, television and communication equipment and apparatus","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","167,187","e"
"2000","Radio, television and communication equipment and apparatus","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","150,018","e"
