"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","France","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","France","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","France","Nitrogen oxides","Education","Tonne",":",""
"2006","France","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","France","Methane","Total - all NACE activities","Tonne",":",""
"2006","France","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","France","Methane","Education","Tonne",":",""
"2006","France","Methane","Human health and social work activities","Tonne",":",""
"2006","France","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","France","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","France","Nitrous oxide","Education","Tonne",":",""
"2006","France","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","France","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","France","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","France","Carbon dioxide","Education","Tonne",":",""
"2006","France","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Croatia","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Croatia","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Croatia","Nitrogen oxides","Education","Tonne",":",""
"2006","Croatia","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Croatia","Methane","Total - all NACE activities","Tonne",":",""
"2006","Croatia","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Croatia","Methane","Education","Tonne",":",""
"2006","Croatia","Methane","Human health and social work activities","Tonne",":",""
"2006","Croatia","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Croatia","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Croatia","Nitrous oxide","Education","Tonne",":",""
"2006","Croatia","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Croatia","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Croatia","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Croatia","Carbon dioxide","Education","Tonne",":",""
"2006","Croatia","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Italy","Nitrogen oxides","Total - all NACE activities","Tonne","1,144,109.74",""
"2006","Italy","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","14,045.53",""
"2006","Italy","Nitrogen oxides","Education","Tonne","1,416.07",""
"2006","Italy","Nitrogen oxides","Human health and social work activities","Tonne","2,282.25",""
"2006","Italy","Methane","Total - all NACE activities","Tonne","1,893,339.18",""
"2006","Italy","Methane","Public administration and defence; compulsory social security","Tonne","242",""
"2006","Italy","Methane","Education","Tonne","205.44",""
"2006","Italy","Methane","Human health and social work activities","Tonne","80.3",""
"2006","Italy","Nitrous oxide","Total - all NACE activities","Tonne","74,040.33",""
